Date,Open,High,Low,Close,Volume
"gen 13, 2021","58,54","59,88","57,53","59,40",24.178.501
"gen 14, 2021","60,00","60,03","56,70","56,91",26.561.002
"gen 15, 2021","57,49","57,90","55,00","55,52",23.708.804
"gen 19, 2021","56,39","56,84","55,00","56,30",16.953.659
"gen 20, 2021","57,00","57,98","55,47","56,38",16.904.343
"gen 21, 2021","56,57","57,00","55,31","55,79",13.432.029
"gen 22, 2021","55,25","55,47","54,01","54,31",19.570.506
"gen 25, 2021","54,50","54,52","49,65","54,29",40.890.094
"gen 26, 2021","54,62","55,52","51,53","51,92",25.677.017
"gen 27, 2021","49,97","50,86","47,15","48,11",33.283.424
"gen 28, 2021","50,12","52,52","49,88","51,58",28.114.698
"gen 29, 2021","50,63","51,49","49,64","50,93",18.743.234
